產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
代理式AI(Agentic AI)應用,緯軟 (4953),軟體系統整合商,軟體開發與系統整合服務商，提供企業數位轉型、AI應用導入等解決方案。,受惠代理式AI(Agentic AI)企業應用需求，在金融、電信等產業累積深厚客戶基礎，軟體服務毛利率高。
代理式AI(Agentic AI)應用,宏碁資訊 (6811),,,
代理式AI(Agentic AI)應用,創惟 (6104),,,
代理式AI(Agentic AI)應用,精誠 (6214),,,
代理式AI(Agentic AI)應用,叡揚 (6752),,,
代理式AI(Agentic AI)應用,敦陽科 (2480),,,
代理式AI(Agentic AI)應用,凌群 (2453),,,
代理式AI(Agentic AI)應用,神通 (2318),,,
代理式AI(Agentic AI)應用,資通 (2471),,,
代理式AI(Agentic AI)應用,聚碩 (6112),,,
代理式AI(Agentic AI)應用,偉康 (6464),,,
代理式AI(Agentic AI)應用,緯穎 (6669),AI伺服器專業廠,專注於高階伺服器設計製造，為Meta、Microsoft等超大規模資料中心主要供應商，AI伺服器營收占比超過80%。,在客製化AI伺服器設計能力最強，技術含量高，毛利率優於同業，受惠代理式AI(Agentic AI)推理伺服器需求成長。
代理式AI(Agentic AI)應用,嘉澤 (3533),,,
代理式AI(Agentic AI)應用,華電網 (6163),,,
代理式AI(Agentic AI)應用,網家 (8044),,,
邊緣AI/工業電腦,研華 (2395),工業電腦龍頭,全球工業電腦與AIoT解決方案領導廠商，產品涵蓋邊緣運算、智慧製造、智慧城市等領域。,在邊緣AI與工業4.0領域市占率全球領先，受惠2026年邊緣AI硬體滲透率朝20%邁進，AI Box業務快速成長。
邊緣AI/工業電腦,樺漢 (6414),工業電腦前三大,工業電腦與醫療電腦專業廠，產品應用於智慧製造、智慧醫療、智慧零售等垂直產業。,透過併購整合策略擴大市占率，在垂直產業應用深耕多年，受惠邊緣AI需求成長。
邊緣AI/工業電腦,華碩 (2357),,,
邊緣AI/工業電腦,宏碁 (2353),,,
邊緣AI/工業電腦,微星 (2377),,,
邊緣AI/工業電腦,神基 (3005),,,
邊緣AI/工業電腦,凌華 (6166),,,
邊緣AI/工業電腦,艾訊 (3088),,,
邊緣AI/工業電腦,威強電 (3022),,,
邊緣AI/工業電腦,友通 (2397),,,
邊緣AI/工業電腦,振樺電 (8114),,,
邊緣AI/工業電腦,瑞傳 (6105),,,
邊緣AI/工業電腦,安勤 (3479),,,
邊緣AI/工業電腦,磐儀 (3594),,,
邊緣AI/工業電腦,康控-KY (4943),,,
邊緣AI/工業電腦,映泰 (2399),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
先進封裝測試,日月光投控 (3711),全球封測龍頭,全球最大半導體封測集團，旗下日月光與矽品提供完整封測解決方案，包含先進封裝(SiP/Fan-out/CoWoS等)。,全球封測市占率超過20%，在先進封裝領域技術完整，矽光子技術已進入量產階段，為NVIDIA、AMD等大廠主要封測夥伴。
先進封裝測試,欣興 (3037),,,
先進封裝測試,景碩 (3189),,,
先進封裝測試,南電 (8046),,,
先進封裝測試,台光電 (2383),,,
先進封裝測試,聯茂 (6213),,,
先進封裝測試,臻鼎-KY (4958),,,
先進封裝測試,金像電 (2368),,,
先進封裝測試,定穎 (6251),,,
先進封裝測試,志超 (8213),,,
先進封裝測試,楠梓電 (2316),,,
先進封裝測試,精測 (6510),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
散熱/電源供應,奇鋐 (3017),AI散熱龍頭,專注於高階散熱模組，主要產品為AI伺服器散熱器、熱導管、均溫板等，為NVIDIA供應鏈成員。,在AI伺服器液冷散熱領域技術領先，受惠AI晶片功耗持續提升，散熱規格與單價同步上揚。
散熱/電源供應,雙鴻 (3324),,,
散熱/電源供應,超眾 (6230),,,
散熱/電源供應,台達電 (2308),全球電源供應龍頭,全球電源供應與散熱解決方案龍頭，產品涵蓋AI伺服器電源、液冷散熱、儲能系統、電動車充電樁、工業自動化等多元領域。,AI伺服器電源市占率全球第一，液冷散熱營收達500億元，在HVDC高壓直流與水冷專案技術領先，同時受惠能源基礎建設與綠能轉型雙引擎驅動。
散熱/電源供應,康舒 (6282),,,
散熱/電源供應,建準 (2421),,,
散熱/電源供應,力致 (3483),,,
散熱/電源供應,泰碩 (3338),,,
散熱/電源供應,喬威 (3078),,,
散熱/電源供應,健策 (3653),,,
散熱/電源供應,茂達 (6138),,,
散熱/電源供應,台通 (8011),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
,,,,
,,,,
,,,,
機器人/自動化,上銀 (2049),精密傳動元件龍頭,全球線性滑軌與滾珠螺桿領導廠商，產品應用於工具機、半導體設備、機器人等精密機械領域。,台積電董事長魏哲家指出人形機器人市場規模可達電動車10倍，上銀為機器人關鍵零組件主要供應商，技術門檻高。
機器人/自動化,盟立 (2464),,,
機器人/自動化,東佑達 (1597),,,
機器人/自動化,新代 (7750),,,
機器人/自動化,台達電 (2308),全球電源供應龍頭,全球電源供應與散熱解決方案龍頭，產品涵蓋AI伺服器電源、液冷散熱、儲能系統、電動車充電樁、工業自動化等多元領域。,AI伺服器電源市占率全球第一，液冷散熱營收達500億元，在HVDC高壓直流與水冷專案技術領先，同時受惠能源基礎建設與綠能轉型雙引擎驅動。
機器人/自動化,達明 (3686),協作型機器人廠商,協作型機器人(Cobot)製造商，產品應用於智慧製造、半導體、3C組裝等領域。,在協作型機器人市場具備完整產品線，結合視覺辨識與AI技術，受惠製造業自動化需求。
機器人/自動化,正崴 (2392),,,
機器人/自動化,亞德客-KY (1590),,,
機器人/自動化,直得 (1597),,,
機器人/自動化,全球傳動 (4540),,,
機器人/自動化,所羅門 (2359),,,
機器人/自動化,均豪 (5443),,,
機器人/自動化,牧德 (3563),,,
機器人/自動化,致茂 (2360),,,
機器人/自動化,盈錫 (1541),,,
機器人/自動化,瀧澤科 (6609),,,
機器視覺/3D感測,原相 (3227),影像感測IC設計廠,光學感測晶片設計廠，產品涵蓋全域快門影像感測器、3D ToF感測器等，應用於機器人、無人機、AR/VR等領域。,提供機器人視覺、聽覺、觸覺等全方位感測器方案，結合AI視覺技術，在機器人感測器市場占有一席之地。
機器視覺/3D感測,鈺太 (6679),,,
機器視覺/3D感測,大立光 (3008),光學鏡頭龍頭,全球智慧型手機鏡頭龍頭，產品應用於手機、車用、AR/VR等領域，技術領先全球。,在高階光學鏡頭製造技術獨步全球，受惠3D感測、機器視覺等新應用需求，為蘋果等國際大廠主要供應商。
機器視覺/3D感測,亞光 (3019),,,
機器視覺/3D感測,華晶科 (3059),,,
機器視覺/3D感測,佳能 (2374),,,
機器視覺/3D感測,今國光 (6209),,,
機器視覺/3D感測,凌陽 (2401),,,
機器視覺/3D感測,昇佳電子 (6702),,,
機器視覺/3D感測,廣明 (6188),,,
機器視覺/3D感測,富采 (3714),,,
機器視覺/3D感測,揚明光 (3504),,,
機器視覺/3D感測,玉晶光 (3406),,,
機器視覺/3D感測,先進光 (3362),,,
機器視覺/3D感測,光鋐 (4956),,,
機器視覺/3D感測,聯亞 (3081),矽光子領先廠商,光通訊與矽光子技術廠商，產品應用於800G/1.6T高速光收發模組，為AWS、Google等雲端大廠供應商。,2026年矽光子量產元年最大受惠者，在CPO共封裝光學技術領域布局完整，受惠AI資料中心頻寬升級需求。

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
特化族群(半導體材料),新應材 (6121),半導體材料新星,半導體特用化學品廠，核心產品為表面改質劑，已打入台積電2nm製程供應鏈，營收貢獻度達70%。,台積電2nm從FinFET轉向GAA架構，表面改質劑需求大增，在國產化替代趨勢下成為關鍵受惠者，股價漲勢凌厲。
特化族群(半導體材料),台特化 (4770),高純度矽乙烷獨家供應商,國內唯一生產高純度矽乙烷廠商，產品應用於2nm GAA製程，純度要求從PPM躍升至PPT級別。,在2nm製程中矽乙烷單位用量較3nm增加1.5至2倍，2026年稼動率預估從5-6成躍升至7-8成，獨家供應地位穩固。
特化族群(半導體材料),中華化 (1727),,,
特化族群(半導體材料),永光 (1711),,,
特化族群(半導體材料),長興 (1717),,,
特化族群(半導體材料),達興材 (5234),,,
特化族群(半導體材料),光洋科 (1785),,,
特化族群(半導體材料),崇越 (5434),,,
特化族群(半導體材料),勝一 (1773),,,
特化族群(半導體材料),和桐 (1714),,,
特化族群(半導體材料),國喬 (1312),,,
特化族群(半導體材料),台橡 (2103),,,
特化族群(半導體材料),聯成 (1313),,,
特化族群(半導體材料),三福化 (4755),,,
特化族群(半導體材料),德淵 (4720),,,
特化族群(半導體材料),三洋實業 (9958),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
矽光子/CPO光通訊,聯亞 (3081),矽光子領先廠商,光通訊與矽光子技術廠商，產品應用於800G/1.6T高速光收發模組，為AWS、Google等雲端大廠供應商。,2026年矽光子量產元年最大受惠者，在CPO共封裝光學技術領域布局完整，受惠AI資料中心頻寬升級需求。
矽光子/CPO光通訊,全新 (2455),,,
矽光子/CPO光通訊,波若威 (3163),,,
矽光子/CPO光通訊,華星光 (4979),,,
矽光子/CPO光通訊,眾達-KY (4977),,,
矽光子/CPO光通訊,光環 (3234),,,
矽光子/CPO光通訊,劍麟 (2228),,,
矽光子/CPO光通訊,聯鈞 (3450),,,
矽光子/CPO光通訊,正文 (4906),,,
矽光子/CPO光通訊,東訊 (2321),,,
矽光子/CPO光通訊,光磊 (2340),,,
矽光子/CPO光通訊,光聖 (6442),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
綠能/重電設備,東元 (1504),重電設備龍頭,台灣重電龍頭，產品涵蓋馬達、變壓器、發電機、空調系統等，近年受惠AI資料中心電力設備需求。,在AI資料中心電力基礎建設扮演關鍵角色，受惠全球能源轉型與電網升級需求，2026年被視為重電族群爆發年。
綠能/重電設備,大同 (2371),,,
綠能/重電設備,中興電 (1513),,,
綠能/重電設備,士電 (1503),,,
綠能/重電設備,華城 (1519),,,
綠能/重電設備,亞力 (1514),,,
綠能/重電設備,大亞 (1609),,,
綠能/重電設備,中鋼構 (2013),,,
綠能/重電設備,春源 (2010),,,
綠能/重電設備,森崴能源 (6806),,,
綠能/重電設備,元晶 (6443),,,
綠能/重電設備,太普高 (6617),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
記憶體,南亞科 (2408),台灣DRAM龍頭,台灣唯一DRAM記憶體製造商，產品涵蓋DDR4/DDR5，應用於PC、伺服器、消費性電子等領域。南亞塑膠集團企業。,受惠AI伺服器DDR5需求強勁與DRAM價格上漲週期，產能利用率滿載，毛利率顯著改善，為台灣記憶體產業指標股。
記憶體,華邦電 (2344),利基型記憶體廠,NOR Flash與低功耗DRAM專業廠，產品應用於車用電子、工控、AIoT等利基市場。,在車用NOR Flash市場市占率全球前三，受惠於ADAS與電動車滲透率提升，利基型記憶體定價能力強。
記憶體,旺宏 (2337),,,
記憶體,群聯 (8299),NAND控制晶片龍頭,全球NAND Flash控制晶片龍頭，產品應用於SSD、記憶卡、USB隨身碟等儲存裝置。,NAND控制IC市占率全球第一，受惠於AI伺服器SSD需求與PCIe 5.0高速介面升級，技術領先優勢明顯。
記憶體,威剛 (3260),,,
記憶體,十銓 (4967),,,
記憶體,宜鼎 (5289),,,
記憶體,創見 (2451),,,
記憶體,鈺創 (5351),,,
記憶體,力成 (6239),,,
記憶體,京元電 (2449),,,
記憶體,頎邦 (6147),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
電動車供應鏈,和大 (1536),,,
電動車供應鏈,貿聯-KY (3665),,,
電動車供應鏈,健和興 (3003),,,
電動車供應鏈,為升 (2231),,,
電動車供應鏈,美琪瑪 (4721),,,
電動車供應鏈,胡連 (6279),,,
電動車供應鏈,堤維西 (1522),,,
電動車供應鏈,車王電 (1533),,,
電動車供應鏈,同致 (3552),,,
電動車供應鏈,和勤 (1586),,,
電動車供應鏈,士林電 (1503),,,
電動車供應鏈,康普 (4739),,,

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
電子零組件業,2327 國巨,綜合型被動元件龍頭,主要產品涵蓋MLCC、晶片電阻、電感與磁性元件等，被動元件產品線完整,全球級被動元件大廠，產品組合廣、車用與工控布局深，議價能力與規模經濟較強
電子零組件業,2492 華新科,綜合型被動元件大廠,以MLCC、電阻等被動元件為主，並延伸到相關電子零組件,台灣重要MLCC供應商之一，產品線完整，具備客戶基礎與品牌辨識度
電子零組件業,3026 禾伸堂,MLCC/被動元件廠,主要從事被動元件相關產品，聚焦電容與其他電子零組件,在特定應用與客戶基礎上具備穩定供應能力，屬中大型被動元件廠
電子零組件業,6449 鈺邦,高階MLCC/利基型被動元件廠,專注於高階被動元件，特別是MLCC相關產品,切入高階與利基市場，較容易受惠於車用、工控與高規格應用
電子零組件業,2472 立隆電,電感/磁性元件廠,以電感、磁性元件等產品為主，供應電源與訊號相關應用,在電感與磁性元件領域有專業定位，受惠電源管理與高功率應用需求
電子零組件業,2428 興勤,保護元件/被動元件相關廠,產品偏向保護元件與被動元件應用，服務消費電子與工控客戶,在保護元件領域具有一定專業性，客戶黏著度與產品應用廣度較高
電子零組件業,2478 大毅,晶片電阻/被動元件廠,主要產品包括晶片電阻等被動元件,在晶片電阻領域具備穩定出貨與一定規模，屬台灣被動元件代表廠之一
電子零組件業,3090 日電貿,被動元件通路商,主要從事電子零組件代理與通路服務,通路布局完整，與上下游供應鏈連動高，能快速反映產業景氣
電子零組件業,5434 崇越,電子材料/通路相關,供應電子材料與部分零組件通路服務,供應鏈服務能力強，跨足電子材料與零組件，客戶與品項多元
電子零組件業,3624 光頡,精密電阻/被動元件廠,專注於高精度電阻與相關被動元件,在高精度與特殊應用電阻市場具利基，毛利結構通常較佳
電子零組件業,6175 立敦,被動元件/材料相關,從事被動元件與相關材料業務,具備供應鏈位置與特定產品能力，屬被動元件次族群標的
電子零組件業,6284 佳邦,RF/被動元件相關,產品涉及射頻與被動元件應用,在通訊與高頻應用領域具利基，受惠5G與通訊模組需求
電子零組件業,1785 光洋科,材料/電子零組件相關,主要為材料與電子應用相關產品,雖非傳統被動元件核心廠，但在相關電子材料與供應鏈中具角色

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
低軌衛星與地面設備,6285 啟碁,地面接收設備/網通系統整合商,提供星鏈地面接收端設備、衛星路由器與相關網通產品,屬SpaceX/Starlink地面設備核心供應鏈之一，具系統整合與量產能力。[web:80][web:84]
低軌衛星射頻元件,3491 昇達科,高頻射頻元件與天線酬載供應商,專攻低軌衛星天線酬載元件、高頻濾波器等產品,被多篇報導點名為較純的SpaceX供應鏈，具太空級認證與高頻技術優勢。[web:80][web:85]
低軌衛星PCB,2313 華通,通訊用高階PCB/HDI板廠,供應衛星本體與地面接收站通訊用高階HDI板,在低軌衛星PCB領域具高市佔與量產能力，屬題材純度較高的代表標的。[web:80][web:79][web:85]
低軌衛星PCB,2355 敬鵬,衛星設備板供應商,供應衛星設備相關印刷電路板,已被報導納入SpaceX供應鏈，具車電與高可靠度板材製造基礎。[web:80][web:86]
RF模組與高頻通訊,6271 同欣電,高頻無線通訊RF模組供應商,主要供應高頻無線通訊（RF）模組給國際客戶,具高頻封裝與模組整合能力，可切入衛星通訊與相關高頻應用。[web:34][web:84]
射頻天線/無線通訊,3138 耀登,射頻天線與測試整合廠,從事無線射頻天線開發與相關解決方案,具天線與高頻測試能力，適合低軌衛星與通訊設備應用。[web:34][web:84]
機構件與軍工供應鏈,4916 事欣科,軍工/通訊機構件與製造商,以ITAR認證切入美軍供應鏈，並為星鏈計畫成員,具軍規認證與國際供應鏈門檻，較容易取得高附加價值訂單。[web:77]
電子零組件與材料鏈,6190 萬泰科,線材/高速傳輸與周邊元件供應商,供應高速傳輸與相關電子零組件,受惠低軌衛星與高速通訊趨勢，具材料與連接應用延伸性。[web:83]
先進製程與晶片代工,2333 台積電,晶片代工龍頭,為相關通訊晶片與高階晶片提供製造服務,製程技術與產能規模具世界級優勢，是高階供應鏈的重要基礎。[web:80]
AI伺服器/資料中心,2382 廣達,伺服器與系統整合廠,供應地面大型基礎設施與伺服器端設備,若SpaceX延伸至太空AI/資料中心，廣達具系統整合與量產優勢。[web:80][web:84]
AI伺服器/資料中心,3231 緯創,伺服器與資訊硬體整合商,供應AI伺服器與相關硬體系統,具大型ODM整合與出貨能力，可延伸受惠太空資料中心想像。[web:80]
電源與散熱,2308 台達電,電源管理與散熱解決方案供應商,供應電源、散熱與系統解決方案,在高功率、高可靠度設備鏈中具深厚技術與客戶基礎。[web:80][web:84]
PCB/高階載板,2368 金像電,高階PCB廠,供應高階通訊與伺服器用PCB,具高階板材與量產能力，適合高頻高速通訊與衛星設備需求。[web:80]
通訊設備與網通,6285 啟碁,網通系統與終端設備商,提供路由器、地面站與通訊設備,在衛星地面設備端整合能力強，能承接系統級訂單。[web:80]

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
折疊手機軸承/鉸鏈,3376 新日興,全球手機與筆電軸承廠,主要供應筆電、耳機與手機軸承，市場傳出切入蘋果摺疊機鉸鏈供應鏈,具高精密轉軸技術與既有蘋果系供應基礎，被視為蘋果摺疊機概念中的高純度標的之一。[web:48][web:89][web:91]
折疊手機軸承/鉸鏈,3548 兆利,手機與NB軸承供應商,主要產品為3C、NB與手機軸承，並持續布局高階折疊機鉸鏈,在中國與蘋果摺疊機題材中都具想像空間，量產與客戶驗證能力是主要優勢。[web:55][web:87][web:88]
折疊手機軸承/鉸鏈,6432 富世達,高階軸承與伺服器零組件廠,原本以折疊手機軸承切入市場，後續延伸至伺服器與散熱相關零組件,除了折疊機題材外，還有伺服器產品成長，營運動能較多元，成為市場關注焦點。[web:87][web:88]
折疊手機軟板/連接,6269 台郡,軟板與高階連接方案廠,供應高階軟板與訊號連接解決方案，可應用於折疊手機內部連接,在高階軟板與通訊應用具多年經驗，較能支撐高密度與耐彎折需求。[web:93]
折疊手機軟板/連接,2492 華新科,電子零組件相關,部分高頻與連接應用可延伸至折疊手機周邊零組件,產品線完整，在電子零組件整合能力上具規模優勢。[web:93]
折疊手機軟板/連接,4958 臻鼎-KY,高階PCB/FPC大廠,全球大型軟板與高階PCB供應商，折疊手機大量使用FPC與HDI設計,具全球量產能力與蘋果供應鏈地位，是折疊手機供應鏈中重要的板卡供應者。[web:93][web:64]
折疊手機面板,3673 TPK-KY,觸控與貼合龍頭,提供觸控、貼合與整合方案，可延伸至折疊螢幕周邊製程,在貼合與精密顯示模組製程有深厚能力，適合高階手機面板應用。[web:61]
折疊手機面板,6456 GIS-KY,觸控/面板模組廠,從事顯示模組、觸控與相關組裝服務,具蘋果供應鏈基礎與精密組裝能力，較容易切入折疊手機顯示周邊。[web:52][web:64]
折疊手機機構件,2474 可成,金屬機殼與機構件大廠,提供高階金屬機構件與精密加工,在高強度、輕量化機構件製造上具有優勢，符合折疊手機輕薄高耐用需求。[web:50][web:87]
折疊手機機構件,4915 致伸,機構與電聲整合廠,產品線可延伸到機構件與電子整合應用,具系統整合與客製化能力，能支援折疊手機周邊零組件需求。[web:50]
折疊手機散熱,3324 雙鴻,散熱模組廠,提供高階散熱模組與熱管理解決方案,折疊手機內部空間有限，散熱設計重要性高，雙鴻在高階散熱具技術門檻。[web:87]
