產業分類,序號,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
ABF載板/IC載板,11,台燿 (6274),上游材料,高階CCL銅箔基板廠，專注於高頻高速材料，產品應用於伺服器、網通等領域。,在高階CCL市場具競爭力，受惠於AI與HPC需求，股價創新高表現亮眼。
ABF載板/IC載板,12,全新 (2455),設備/通路,光通訊與矽光子概念股，同時為PCB設備與材料通路商，受惠於載板產業擴產需求。,在載板設備與材料通路扮演重要角色，同時布局矽光子領域，雙引擎驅動成長。
AI伺服器組裝ODM,1,鴻海 (2317),全球電子代工龍頭,全球最大電子製造服務商，業務涵蓋AI伺服器、iPhone組裝、電動車、半導體封測等多元領域。,為NVIDIA GB200伺服器主要組裝廠，在AI伺服器組裝市占率與廣達並列前二，同時布局電動車與半導體供應鏈，集團資源整合能力強。
AI伺服器組裝ODM,2,廣達 (2382),AI伺服器組裝龍頭,全球筆電代工龍頭，近年轉型為AI伺服器組裝主要廠商，為NVIDIA、Microsoft、Google等大廠供應商。,AI伺服器出貨量全球第一，在液冷散熱系統整合能力領先，受惠雲端大廠資本支出持續擴張，訂單能見度延伸至2027年。
AI伺服器組裝ODM,3,緯創 (3231),,,
AI伺服器組裝ODM,4,英業達 (2356),,,
AI伺服器組裝ODM,5,緯穎 (6669),AI伺服器專業廠,專注於高階伺服器設計製造，為Meta、Microsoft等超大規模資料中心主要供應商，AI伺服器營收占比超過80%。,在客製化AI伺服器設計能力最強，技術含量高，毛利率優於同業，受惠代理式AI(Agentic AI)推理伺服器需求成長。
AI伺服器組裝ODM,6,神達 (2315),,,
AI伺服器組裝ODM,7,仁寶 (2324),,,
AI伺服器組裝ODM,8,和碩 (4938),,,
AI伺服器組裝ODM,9,佳世達 (2352),,,
AI伺服器組裝ODM,10,勤誠 (8210),,,
AI伺服器組裝ODM,11,技嘉 (2376),,,
AI伺服器組裝ODM,12,華擎 (3515),,,
AI半導體/晶圓代工,1,台積電 (2330),全球龍頭,全球晶圓代工龍頭，市占率達71%，穩居純晶圓代工霸主地位。提供3nm/5nm等最先進製程技術，為NVIDIA、AMD、Apple等國際大廠主要製造夥伴。,在AI晶片製造領域掌握關鍵技術優勢，3nm製程量產領先全球，CoWoS先進封裝產能持續擴充，2025年市占率從64.4%躍升至69.9%，訂單能見度延伸至2027年。
AI半導體/晶圓代工,2,聯電 (2303),全球第四大,全球第四大晶圓代工廠，市占率6.4%，專注於28nm以上成熟製程與特殊製程，應用於電源管理IC、驅動IC、射頻等領域。,在成熟製程領域具備完整產能布局，受惠於IoT、車用電子、工控等應用需求，成熟製程報價持續調漲，產能利用率維持高檔。
AI半導體/晶圓代工,3,世界 (5347),,,
AI半導體/晶圓代工,4,環球晶 (6488),全球第三大矽晶圓廠,全球第三大半導體矽晶圓供應商，產品涵蓋8吋、12吋晶圓，應用於邏輯IC、記憶體、功率元件等領域。,受惠於AI帶動晶圓需求成長，12吋晶圓長約簽訂比率高，價格具支撐力，為台積電、聯電等晶圓代工廠關鍵材料供應商。
AI半導體/晶圓代工,5,合晶 (6182),,,
AI半導體/晶圓代工,6,中砂 (1560),,,
AI半導體/晶圓代工,7,嘉晶 (3016),,,
AI半導體/晶圓代工,8,昇陽半 (8028),,,
AI半導體/晶圓代工,9,台勝科 (3532),,,
AI半導體/晶圓代工,10,漢磊 (3707),,,
AI半導體/晶圓代工,11,穩懋 (3105),,,
AI半導體/晶圓代工,12,宏捷科 (8086),,,
IC設計服務(IP/ASIC),1,世芯-KY (3661),ASIC設計龍頭,全球領先ASIC客製化晶片設計服務商，專注於高效能運算、網路通訊等領域，為雲端業者自研晶片主要合作夥伴。,受惠雲端大廠(Google、AWS等)自研ASIC晶片趨勢，在7nm/5nm先進製程ASIC設計領域技術領先，營收與獲利持續高速成長。
IC設計服務(IP/ASIC),2,創意 (3443),ASIC設計服務前三大,ASIC客製化晶片設計服務商，專注於先進製程設計，為台積電CoWoS先進封裝主要設計夥伴之一。,在先進製程ASIC設計領域與世芯並列龍頭，受惠AI ASIC訂單持續湧入，與台積電技術合作緊密。
IC設計服務(IP/ASIC),3,智原 (3035),ASIC與IP供應商,ASIC設計服務與矽智財(IP)授權廠商，產品應用於AI、5G、車用等領域。,提供完整ASIC設計服務與IP授權，受惠於成熟製程報價上漲與AI邊緣運算需求。
IC設計服務(IP/ASIC),4,力旺 (3529),,,
IC設計服務(IP/ASIC),5,晶心科 (6533),,,
IC設計服務(IP/ASIC),6,M31 (6643),,,
IC設計服務(IP/ASIC),7,愛普 (6531),,,
IC設計服務(IP/ASIC),8,安國 (8054),,,
IC設計服務(IP/ASIC),9,瑞昱 (2379),,,
IC設計服務(IP/ASIC),10,聯發科 (2454),台灣IC設計龍頭,全球IC設計巨頭，主要產品為手機晶片、WiFi/藍牙晶片、智慧電視晶片等，近年積極布局AI ASIC與邊緣AI市場。,全球智慧型手機晶片市占率與高通並列前二，天璣系列5G晶片在中高階市場表現強勁，2026年AI ASIC業務成為新成長引擎，股價從1430元漲至2400元以上。
IC設計服務(IP/ASIC),11,聯詠 (3034),,,
IC設計服務(IP/ASIC),12,譜瑞-KY (4966),,,
代理式AI(Agentic AI)應用,1,零壹 (3029),科技服務商,雲端服務與AI應用系統整合商，提供企業雲端遷移、AI模型部署等服務。,在企業AI應用落地服務領域具優勢，受惠代理式AI市場規模從2024年5.7億美元成長至2030年521億美元(CAGR 45%)。
代理式AI(Agentic AI)應用,2,緯軟 (4953),軟體系統整合商,軟體開發與系統整合服務商，提供企業數位轉型、AI應用導入等解決方案。,受惠代理式AI(Agentic AI)企業應用需求，在金融、電信等產業累積深厚客戶基礎，軟體服務毛利率高。
代理式AI(Agentic AI)應用,3,宏碁資訊 (6811),,,
代理式AI(Agentic AI)應用,4,創惟 (6104),,,
代理式AI(Agentic AI)應用,5,精誠 (6214),,,
代理式AI(Agentic AI)應用,6,叡揚 (6752),,,
代理式AI(Agentic AI)應用,7,敦陽科 (2480),,,
代理式AI(Agentic AI)應用,8,凌群 (2453),,,
代理式AI(Agentic AI)應用,9,神通 (2318),,,
代理式AI(Agentic AI)應用,10,資通 (2471),,,
代理式AI(Agentic AI)應用,11,聚碩 (6112),,,
代理式AI(Agentic AI)應用,12,偉康 (6464),,,
代理式AI(Agentic AI)應用,13,緯穎 (6669),AI伺服器專業廠,專注於高階伺服器設計製造，為Meta、Microsoft等超大規模資料中心主要供應商，AI伺服器營收占比超過80%。,在客製化AI伺服器設計能力最強，技術含量高，毛利率優於同業，受惠代理式AI(Agentic AI)推理伺服器需求成長。
代理式AI(Agentic AI)應用,14,嘉澤 (3533),,,
代理式AI(Agentic AI)應用,15,華電網 (6163),,,
代理式AI(Agentic AI)應用,16,網家 (8044),,,
先進封裝測試,1,日月光投控 (3711),全球封測龍頭,全球最大半導體封測集團，旗下日月光與矽品提供完整封測解決方案，包含先進封裝(SiP/Fan-out/CoWoS等)。,全球封測市占率超過20%，在先進封裝領域技術完整，矽光子技術已進入量產階段，為NVIDIA、AMD等大廠主要封測夥伴。
先進封裝測試,2,欣興 (3037),,,
先進封裝測試,3,景碩 (3189),,,
先進封裝測試,4,南電 (8046),,,
先進封裝測試,5,台光電 (2383),,,
先進封裝測試,6,聯茂 (6213),,,
先進封裝測試,7,臻鼎-KY (4958),,,
先進封裝測試,8,金像電 (2368),,,
先進封裝測試,9,定穎 (6251),,,
先進封裝測試,10,志超 (8213),,,
先進封裝測試,11,楠梓電 (2316),,,
先進封裝測試,12,精測 (6510),,,
散熱/電源供應,1,奇鋐 (3017),AI散熱龍頭,專注於高階散熱模組，主要產品為AI伺服器散熱器、熱導管、均溫板等，為NVIDIA供應鏈成員。,在AI伺服器液冷散熱領域技術領先，受惠AI晶片功耗持續提升，散熱規格與單價同步上揚。
散熱/電源供應,2,雙鴻 (3324),,,
散熱/電源供應,3,超眾 (6230),,,
散熱/電源供應,4,台達電 (2308),全球電源供應龍頭,全球電源供應與散熱解決方案龍頭，產品涵蓋AI伺服器電源、液冷散熱、儲能系統、電動車充電樁、工業自動化等多元領域。,AI伺服器電源市占率全球第一，液冷散熱營收達500億元，在HVDC高壓直流與水冷專案技術領先，同時受惠能源基礎建設與綠能轉型雙引擎驅動。
散熱/電源供應,5,康舒 (6282),,,
散熱/電源供應,6,建準 (2421),,,
散熱/電源供應,7,力致 (3483),,,
散熱/電源供應,8,泰碩 (3338),,,
散熱/電源供應,9,喬威 (3078),,,
散熱/電源供應,10,健策 (3653),,,
散熱/電源供應,11,茂達 (6138),,,
散熱/電源供應,12,台通 (8011),,,
機器人/自動化,1,上銀 (2049),精密傳動元件龍頭,全球線性滑軌與滾珠螺桿領導廠商，產品應用於工具機、半導體設備、機器人等精密機械領域。,台積電董事長魏哲家指出人形機器人市場規模可達電動車10倍，上銀為機器人關鍵零組件主要供應商，技術門檻高。
機器人/自動化,2,盟立 (2464),,,
機器人/自動化,3,東佑達 (1597),,,
機器人/自動化,4,新代 (7750),,,
機器人/自動化,5,台達電 (2308),全球電源供應龍頭,全球電源供應與散熱解決方案龍頭，產品涵蓋AI伺服器電源、液冷散熱、儲能系統、電動車充電樁、工業自動化等多元領域。,AI伺服器電源市占率全球第一，液冷散熱營收達500億元，在HVDC高壓直流與水冷專案技術領先，同時受惠能源基礎建設與綠能轉型雙引擎驅動。
機器人/自動化,6,達明 (3686),協作型機器人廠商,協作型機器人(Cobot)製造商，產品應用於智慧製造、半導體、3C組裝等領域。,在協作型機器人市場具備完整產品線，結合視覺辨識與AI技術，受惠製造業自動化需求。
機器人/自動化,7,正崴 (2392),,,
機器人/自動化,8,亞德客-KY (1590),,,
機器人/自動化,9,直得 (1597),,,
機器人/自動化,10,全球傳動 (4540),,,
機器人/自動化,11,所羅門 (2359),,,
機器人/自動化,12,均豪 (5443),,,
機器人/自動化,13,牧德 (3563),,,
機器人/自動化,14,致茂 (2360),,,
機器人/自動化,15,盈錫 (1541),,,
機器人/自動化,16,瀧澤科 (6609),,,
機器視覺/3D感測,1,原相 (3227),影像感測IC設計廠,光學感測晶片設計廠，產品涵蓋全域快門影像感測器、3D ToF感測器等，應用於機器人、無人機、AR/VR等領域。,提供機器人視覺、聽覺、觸覺等全方位感測器方案，結合AI視覺技術，在機器人感測器市場占有一席之地。
機器視覺/3D感測,2,鈺太 (6679),,,
機器視覺/3D感測,3,大立光 (3008),光學鏡頭龍頭,全球智慧型手機鏡頭龍頭，產品應用於手機、車用、AR/VR等領域，技術領先全球。,在高階光學鏡頭製造技術獨步全球，受惠3D感測、機器視覺等新應用需求，為蘋果等國際大廠主要供應商。
機器視覺/3D感測,4,亞光 (3019),,,
機器視覺/3D感測,5,華晶科 (3059),,,
機器視覺/3D感測,6,佳能 (2374),,,
機器視覺/3D感測,7,今國光 (6209),,,
機器視覺/3D感測,8,凌陽 (2401),,,
機器視覺/3D感測,9,昇佳電子 (6702),,,
機器視覺/3D感測,10,廣明 (6188),,,
機器視覺/3D感測,11,富采 (3714),,,
機器視覺/3D感測,12,揚明光 (3504),,,
機器視覺/3D感測,13,玉晶光 (3406),,,
機器視覺/3D感測,14,先進光 (3362),,,
機器視覺/3D感測,15,光鋐 (4956),,,
機器視覺/3D感測,16,聯亞 (3081),矽光子領先廠商,光通訊與矽光子技術廠商，產品應用於800G/1.6T高速光收發模組，為AWS、Google等雲端大廠供應商。,2026年矽光子量產元年最大受惠者，在CPO共封裝光學技術領域布局完整，受惠AI資料中心頻寬升級需求。
特化族群(半導體材料),1,新應材 (6121),半導體材料新星,半導體特用化學品廠，核心產品為表面改質劑，已打入台積電2nm製程供應鏈，營收貢獻度達70%。,台積電2nm從FinFET轉向GAA架構，表面改質劑需求大增，在國產化替代趨勢下成為關鍵受惠者，股價漲勢凌厲。
特化族群(半導體材料),2,台特化 (4770),高純度矽乙烷獨家供應商,國內唯一生產高純度矽乙烷廠商，產品應用於2nm GAA製程，純度要求從PPM躍升至PPT級別。,在2nm製程中矽乙烷單位用量較3nm增加1.5至2倍，2026年稼動率預估從5-6成躍升至7-8成，獨家供應地位穩固。
特化族群(半導體材料),3,中華化 (1727),,,
特化族群(半導體材料),4,永光 (1711),,,
特化族群(半導體材料),5,長興 (1717),,,
特化族群(半導體材料),6,達興材 (5234),,,
特化族群(半導體材料),7,光洋科 (1785),,,
特化族群(半導體材料),8,崇越 (5434),,,
特化族群(半導體材料),9,勝一 (1773),,,
特化族群(半導體材料),10,和桐 (1714),,,
特化族群(半導體材料),11,國喬 (1312),,,
特化族群(半導體材料),12,台橡 (2103),,,
特化族群(半導體材料),13,聯成 (1313),,,
特化族群(半導體材料),14,三福化 (4755),,,
特化族群(半導體材料),15,德淵 (4720),,,
特化族群(半導體材料),16,三洋實業 (9958),,,
矽光子/CPO光通訊,1,聯亞 (3081),矽光子領先廠商,光通訊與矽光子技術廠商，產品應用於800G/1.6T高速光收發模組，為AWS、Google等雲端大廠供應商。,2026年矽光子量產元年最大受惠者，在CPO共封裝光學技術領域布局完整，受惠AI資料中心頻寬升級需求。
矽光子/CPO光通訊,2,全新 (2455),,,
矽光子/CPO光通訊,3,波若威 (3163),,,
矽光子/CPO光通訊,4,華星光 (4979),,,
矽光子/CPO光通訊,5,眾達-KY (4977),,,
矽光子/CPO光通訊,6,光環 (3234),,,
矽光子/CPO光通訊,7,劍麟 (2228),,,
矽光子/CPO光通訊,8,聯鈞 (3450),,,
矽光子/CPO光通訊,9,正文 (4906),,,
矽光子/CPO光通訊,10,東訊 (2321),,,
矽光子/CPO光通訊,11,光磊 (2340),,,
矽光子/CPO光通訊,12,光聖 (6442),,,
綠能/重電設備,1,東元 (1504),重電設備龍頭,台灣重電龍頭，產品涵蓋馬達、變壓器、發電機、空調系統等，近年受惠AI資料中心電力設備需求。,在AI資料中心電力基礎建設扮演關鍵角色，受惠全球能源轉型與電網升級需求，2026年被視為重電族群爆發年。
綠能/重電設備,2,大同 (2371),,,
綠能/重電設備,3,中興電 (1513),,,
綠能/重電設備,4,士電 (1503),,,
綠能/重電設備,5,華城 (1519),,,
綠能/重電設備,6,亞力 (1514),,,
綠能/重電設備,7,大亞 (1609),,,
綠能/重電設備,8,中鋼構 (2013),,,
綠能/重電設備,9,春源 (2010),,,
綠能/重電設備,10,森崴能源 (6806),,,
綠能/重電設備,11,元晶 (6443),,,
綠能/重電設備,12,太普高 (6617),,,
記憶體,1,南亞科 (2408),台灣DRAM龍頭,台灣唯一DRAM記憶體製造商，產品涵蓋DDR4/DDR5，應用於PC、伺服器、消費性電子等領域。南亞塑膠集團企業。,受惠AI伺服器DDR5需求強勁與DRAM價格上漲週期，產能利用率滿載，毛利率顯著改善，為台灣記憶體產業指標股。
記憶體,2,華邦電 (2344),利基型記憶體廠,NOR Flash與低功耗DRAM專業廠，產品應用於車用電子、工控、AIoT等利基市場。,在車用NOR Flash市場市占率全球前三，受惠於ADAS與電動車滲透率提升，利基型記憶體定價能力強。
記憶體,3,旺宏 (2337),,,
記憶體,4,群聯 (8299),NAND控制晶片龍頭,全球NAND Flash控制晶片龍頭，產品應用於SSD、記憶卡、USB隨身碟等儲存裝置。,NAND控制IC市占率全球第一，受惠於AI伺服器SSD需求與PCIe 5.0高速介面升級，技術領先優勢明顯。
記憶體,5,威剛 (3260),,,
記憶體,6,十銓 (4967),,,
記憶體,7,宜鼎 (5289),,,
記憶體,8,創見 (2451),,,
記憶體,9,鈺創 (5351),,,
記憶體,10,力成 (6239),,,
記憶體,11,京元電 (2449),,,
記憶體,12,頎邦 (6147),,,
邊緣AI/工業電腦,1,研華 (2395),工業電腦龍頭,全球工業電腦與AIoT解決方案領導廠商，產品涵蓋邊緣運算、智慧製造、智慧城市等領域。,在邊緣AI與工業4.0領域市占率全球領先，受惠2026年邊緣AI硬體滲透率朝20%邁進，AI Box業務快速成長。
邊緣AI/工業電腦,2,樺漢 (6414),工業電腦前三大,工業電腦與醫療電腦專業廠，產品應用於智慧製造、智慧醫療、智慧零售等垂直產業。,透過併購整合策略擴大市占率，在垂直產業應用深耕多年，受惠邊緣AI需求成長。
邊緣AI/工業電腦,3,華碩 (2357),,,
邊緣AI/工業電腦,4,宏碁 (2353),,,
邊緣AI/工業電腦,5,微星 (2377),,,
邊緣AI/工業電腦,6,神基 (3005),,,
邊緣AI/工業電腦,7,凌華 (6166),,,
邊緣AI/工業電腦,8,艾訊 (3088),,,
邊緣AI/工業電腦,9,威強電 (3022),,,
邊緣AI/工業電腦,10,友通 (2397),,,
邊緣AI/工業電腦,11,振樺電 (8114),,,
邊緣AI/工業電腦,12,瑞傳 (6105),,,
邊緣AI/工業電腦,13,安勤 (3479),,,
邊緣AI/工業電腦,14,磐儀 (3594),,,
邊緣AI/工業電腦,15,康控-KY (4943),,,
邊緣AI/工業電腦,16,映泰 (2399),,,
電動車供應鏈,1,和大 (1536),,,
電動車供應鏈,2,貿聯-KY (3665),,,
電動車供應鏈,3,健和興 (3003),,,
電動車供應鏈,4,為升 (2231),,,
電動車供應鏈,5,美琪瑪 (4721),,,
電動車供應鏈,6,胡連 (6279),,,
電動車供應鏈,7,堤維西 (1522),,,
電動車供應鏈,8,車王電 (1533),,,
電動車供應鏈,9,同致 (3552),,,
電動車供應鏈,10,和勤 (1586),,,
電動車供應鏈,11,士林電 (1503),,,
電動車供應鏈,12,康普 (4739),,,
